# TEM     PRE          CP           Z
 2245.43  9.19644e+09  3.31196e+08  1.56179
 2245.33  9.19472e+09  3.31194e+08  1.56172
 2245.23  9.19301e+09  3.31192e+08  1.56166
 2245.13  9.19129e+09  3.31189e+08  1.5616
 2245.03  9.18958e+09  3.31187e+08  1.56153
 2244.93  9.18787e+09  3.31184e+08  1.56147
 2244.83  9.18615e+09  3.31182e+08  1.56141
 2244.73  9.18444e+09  3.31179e+08  1.56134
 2244.64  9.18273e+09  3.31177e+08  1.56128
 2244.54  9.18101e+09  3.31174e+08  1.56122
 2244.44  9.1793e+09  3.31172e+08  1.56115
 2244.34  9.17759e+09  3.31169e+08  1.56109
 2244.24  9.17587e+09  3.31167e+08  1.56103
 2244.14  9.17416e+09  3.31164e+08  1.56096
 2244.04  9.17245e+09  3.31162e+08  1.5609
 2243.94  9.17074e+09  3.3116e+08  1.56084
 2243.84  9.16903e+09  3.31157e+08  1.56078
 2243.75  9.16731e+09  3.31155e+08  1.56071
 2243.65  9.1656e+09  3.31152e+08  1.56065
 2243.55  9.16389e+09  3.3115e+08  1.56059
 2243.45  9.16218e+09  3.31147e+08  1.56052
 2243.35  9.16047e+09  3.31145e+08  1.56046
 2243.25  9.15876e+09  3.31142e+08  1.5604
 2243.15  9.15705e+09  3.3114e+08  1.56033
 2243.05  9.15534e+09  3.31137e+08  1.56027
 2242.95  9.15363e+09  3.31135e+08  1.56021
 2242.86  9.15192e+09  3.31133e+08  1.56014
 2242.76  9.15021e+09  3.3113e+08  1.56008
 2242.66  9.1485e+09  3.31128e+08  1.56002
 2242.56  9.14679e+09  3.31125e+08  1.55996
 2242.46  9.14508e+09  3.31123e+08  1.55989
 2242.36  9.14337e+09  3.3112e+08  1.55983
 2242.26  9.14166e+09  3.31118e+08  1.55977
 2242.16  9.13995e+09  3.31115e+08  1.5597
 2242.06  9.13825e+09  3.31113e+08  1.55964
 2241.96  9.13654e+09  3.3111e+08  1.55958
 2241.87  9.13483e+09  3.31108e+08  1.55951
 2241.77  9.13312e+09  3.31106e+08  1.55945
 2241.67  9.13141e+09  3.31103e+08  1.55939
 2241.57  9.1297e+09  3.31101e+08  1.55932
 2241.47  9.128e+09  3.31098e+08  1.55926
 2241.37  9.12629e+09  3.31096e+08  1.5592
 2241.27  9.12458e+09  3.31093e+08  1.55914
 2241.17  9.12288e+09  3.31091e+08  1.55907
 2241.07  9.12117e+09  3.31088e+08  1.55901
 2240.97  9.11946e+09  3.31086e+08  1.55895
 2240.88  9.11776e+09  3.31084e+08  1.55888
 2240.78  9.11605e+09  3.31081e+08  1.55882
 2240.68  9.11434e+09  3.31079e+08  1.55876
 2240.58  9.11264e+09  3.31076e+08  1.5587
 2240.48  9.11093e+09  3.31074e+08  1.55863
 2240.38  9.10923e+09  3.31071e+08  1.55857
 2240.28  9.10752e+09  3.31069e+08  1.55851
 2240.18  9.10581e+09  3.31066e+08  1.55844
 2240.08  9.10411e+09  3.31064e+08  1.55838
 2239.98  9.1024e+09  3.31062e+08  1.55832
 2239.88  9.1007e+09  3.31059e+08  1.55825
 2239.79  9.099e+09  3.31057e+08  1.55819
 2239.69  9.09729e+09  3.31054e+08  1.55813
